"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 09 21:04:47 CST 2025","Wed Apr 09 21:04:47 CST 2025","59","test_cases","test_checkout_two","","","","Cancel",""
"passed","Wed Apr 09 21:08:30 CST 2025","Wed Apr 09 21:08:30 CST 2025","114","test_cases","test_products","","","","test_title_link[Sauce Labs Bike Light]",""
"passed","Wed Apr 09 21:02:36 CST 2025","Wed Apr 09 21:02:36 CST 2025","240","test_cases","test_cart","","","","移除购物车中的sauce-labs-backpack测试",""
"passed","Wed Apr 09 21:07:34 CST 2025","Wed Apr 09 21:07:34 CST 2025","626","test_cases","test_products","","","","test_picture_link[Sauce Labs Backpack]",""
"passed","Wed Apr 09 21:11:18 CST 2025","Wed Apr 09 21:11:18 CST 2025","136","test_cases","test_products_details","","","","Sauce Labs Bolt T-Shirt 详情页返回主页测试",""
"passed","Wed Apr 09 21:10:05 CST 2025","Wed Apr 09 21:10:05 CST 2025","147","test_cases","test_products_details","","","","Sauce Labs Bolt T-Shirt 详情页加入购物车测试",""
"passed","Wed Apr 09 21:06:50 CST 2025","Wed Apr 09 21:06:50 CST 2025","227","test_cases","test_login","","","","visual_user 用户登录",""
"passed","Wed Apr 09 21:03:54 CST 2025","Wed Apr 09 21:03:54 CST 2025","55","test_cases","test_checkout_complete","","","","Back Home",""
"failed","Wed Apr 09 21:04:42 CST 2025","Wed Apr 09 21:04:42 CST 2025","318","test_cases","test_checkout_one","","","","firstname:【】 lastname:【】 postalcode:【】",""
"passed","Wed Apr 09 21:11:24 CST 2025","Wed Apr 09 21:11:24 CST 2025","137","test_cases","test_products_details","","","","Sauce Labs Fleece Jacket 详情页返回主页测试",""
"passed","Wed Apr 09 21:03:48 CST 2025","Wed Apr 09 21:03:48 CST 2025","23","test_cases","test_checkout_complete","","","","Order",""
"passed","Wed Apr 09 21:07:44 CST 2025","Wed Apr 09 21:07:45 CST 2025","625","test_cases","test_products","","","","test_picture_link[Sauce Labs Bolt T-Shirt]",""
"passed","Wed Apr 09 21:04:10 CST 2025","Wed Apr 09 21:04:11 CST 2025","181","test_cases","test_checkout_one","","","","firstname:【sang】 lastname:【zhang】 postalcode:【666666】",""
"passed","Wed Apr 09 21:04:21 CST 2025","Wed Apr 09 21:04:22 CST 2025","190","test_cases","test_checkout_one","","","","firstname:【sang】 lastname:【zhang】 postalcode:【666666】",""
"passed","Wed Apr 09 21:05:42 CST 2025","Wed Apr 09 21:05:45 CST 2025","3149","test_cases","test_checkout_two","","","","加入购物车商品数目:6",""
"passed","Wed Apr 09 21:07:12 CST 2025","Wed Apr 09 21:07:12 CST 2025","106","test_cases","test_products","","","","test_sort_za",""
"passed","Wed Apr 09 21:07:38 CST 2025","Wed Apr 09 21:07:39 CST 2025","629","test_cases","test_products","","","","test_picture_link[Sauce Labs Bike Light]",""
"passed","Wed Apr 09 21:07:49 CST 2025","Wed Apr 09 21:07:50 CST 2025","623","test_cases","test_products","","","","test_picture_link[Sauce Labs Fleece Jacket]",""
"passed","Wed Apr 09 21:07:24 CST 2025","Wed Apr 09 21:07:24 CST 2025","95","test_cases","test_products","","","","test_sort_up",""
"passed","Wed Apr 09 21:09:38 CST 2025","Wed Apr 09 21:09:38 CST 2025","169","test_cases","test_products_details","","","","Sauce Labs Backpack 详情页加入购物车测试",""
"passed","Wed Apr 09 21:08:50 CST 2025","Wed Apr 09 21:08:50 CST 2025","121","test_cases","test_products","","","","test_title_link[Sauce Labs Bolt T-Shirt]",""
"passed","Wed Apr 09 21:07:01 CST 2025","Wed Apr 09 21:07:01 CST 2025","235","test_cases","test_products","","","","test_products_remove",""
"passed","Wed Apr 09 21:11:00 CST 2025","Wed Apr 09 21:11:00 CST 2025","199","test_cases","test_products_details","","","","Test.allTheThings() T-Shirt (Red) 详情页移除购物车测试",""
"passed","Wed Apr 09 21:09:08 CST 2025","Wed Apr 09 21:09:08 CST 2025","115","test_cases","test_products","","","","test_title_link[Sauce Labs Onesie]",""
"passed","Wed Apr 09 21:09:58 CST 2025","Wed Apr 09 21:09:58 CST 2025","147","test_cases","test_products_details","","","","Sauce Labs Bike Light 详情页加入购物车测试",""
"passed","Wed Apr 09 21:08:26 CST 2025","Wed Apr 09 21:08:26 CST 2025","137","test_cases","test_products","","","","test_title_link[Sauce Labs Backpack]",""
"failed","Wed Apr 09 21:04:16 CST 2025","Wed Apr 09 21:04:16 CST 2025","284","test_cases","test_checkout_one","","","","firstname:【】 lastname:【】 postalcode:【】",""
"passed","Wed Apr 09 21:11:36 CST 2025","Wed Apr 09 21:11:36 CST 2025","143","test_cases","test_products_details","","","","Test.allTheThings() T-Shirt (Red) 详情页返回主页测试",""
"passed","Wed Apr 09 21:05:03 CST 2025","Wed Apr 09 21:05:03 CST 2025","953","test_cases","test_checkout_two","","","","加入购物车商品数目:1",""
"passed","Wed Apr 09 21:07:07 CST 2025","Wed Apr 09 21:07:07 CST 2025","98","test_cases","test_products","","","","test_sort_az",""
"passed","Wed Apr 09 21:02:47 CST 2025","Wed Apr 09 21:02:48 CST 2025","214","test_cases","test_cart","","","","移除购物车中的sauce-labs-bolt-t-shirt测试",""
"passed","Wed Apr 09 21:03:17 CST 2025","Wed Apr 09 21:03:17 CST 2025","225","test_cases","test_cart","","","","购物车中的sauce-labs-bike-light跳转到商品详情页测试",""
"passed","Wed Apr 09 21:03:11 CST 2025","Wed Apr 09 21:03:11 CST 2025","214","test_cases","test_cart","","","","购物车中的sauce-labs-backpack跳转到商品详情页测试",""
"passed","Wed Apr 09 21:05:51 CST 2025","Wed Apr 09 21:05:51 CST 2025","159","test_cases","test_login","","","","standard_user 用户登录",""
"passed","Wed Apr 09 21:06:01 CST 2025","Wed Apr 09 21:06:01 CST 2025","173","test_cases","test_login","","","","problem_user 用户登录",""
"passed","Wed Apr 09 21:08:54 CST 2025","Wed Apr 09 21:08:55 CST 2025","142","test_cases","test_products","","","","test_title_link[Sauce Labs Fleece Jacket]",""
"passed","Wed Apr 09 21:05:09 CST 2025","Wed Apr 09 21:05:10 CST 2025","1215","test_cases","test_checkout_two","","","","加入购物车商品数目:3",""
"passed","Wed Apr 09 21:10:47 CST 2025","Wed Apr 09 21:10:48 CST 2025","227","test_cases","test_products_details","","","","Sauce Labs Fleece Jacket 详情页移除购物车测试",""
"passed","Wed Apr 09 21:09:18 CST 2025","Wed Apr 09 21:09:18 CST 2025","93","test_cases","test_products","","","","test_cart_link",""
"passed","Wed Apr 09 21:10:54 CST 2025","Wed Apr 09 21:10:54 CST 2025","191","test_cases","test_products_details","","","","Sauce Labs Onesie 详情页移除购物车测试",""
"passed","Wed Apr 09 21:05:27 CST 2025","Wed Apr 09 21:05:28 CST 2025","973","test_cases","test_checkout_two","","","","加入购物车商品数目:1",""
"passed","Wed Apr 09 21:11:06 CST 2025","Wed Apr 09 21:11:06 CST 2025","159","test_cases","test_products_details","","","","Sauce Labs Backpack 详情页返回主页测试",""
"passed","Wed Apr 09 21:07:55 CST 2025","Wed Apr 09 21:07:56 CST 2025","618","test_cases","test_products","","","","test_picture_link[Sauce Labs Onesie]",""
"passed","Wed Apr 09 21:03:36 CST 2025","Wed Apr 09 21:03:36 CST 2025","219","test_cases","test_cart","","","","购物车中的sauce-labs-onesie跳转到商品详情页测试",""
"passed","Wed Apr 09 21:11:30 CST 2025","Wed Apr 09 21:11:30 CST 2025","143","test_cases","test_products_details","","","","Sauce Labs Onesie 详情页返回主页测试",""
"passed","Wed Apr 09 21:04:00 CST 2025","Wed Apr 09 21:04:00 CST 2025","7","test_cases","test_checkout_complete","","","","cart reset",""
"passed","Wed Apr 09 21:06:55 CST 2025","Wed Apr 09 21:06:55 CST 2025","241","test_cases","test_products","","","","test_products_add",""
"passed","Wed Apr 09 21:10:11 CST 2025","Wed Apr 09 21:10:11 CST 2025","155","test_cases","test_products_details","","","","Sauce Labs Fleece Jacket 详情页加入购物车测试",""
"passed","Wed Apr 09 21:02:59 CST 2025","Wed Apr 09 21:03:00 CST 2025","225","test_cases","test_cart","","","","移除购物车中的sauce-labs-onesie测试",""
"failed","Wed Apr 09 21:05:56 CST 2025","Wed Apr 09 21:05:56 CST 2025","304","test_cases","test_login","","","","locked_out_user 用户登录",""
"passed","Wed Apr 09 21:06:15 CST 2025","Wed Apr 09 21:06:15 CST 2025","191","test_cases","test_login","","","","error_user 用户登录",""
"passed","Wed Apr 09 21:02:53 CST 2025","Wed Apr 09 21:02:53 CST 2025","207","test_cases","test_cart","","","","移除购物车中的sauce-labs-fleece-jacket测试",""
"passed","Wed Apr 09 21:03:42 CST 2025","Wed Apr 09 21:03:42 CST 2025","214","test_cases","test_cart","","","","购物车中的test.allthethings()-t-shirt-(red)跳转到商品详情页测试",""
"passed","Wed Apr 09 21:03:30 CST 2025","Wed Apr 09 21:03:30 CST 2025","238","test_cases","test_cart","","","","购物车中的sauce-labs-fleece-jacket跳转到商品详情页测试",""
"passed","Wed Apr 09 21:05:34 CST 2025","Wed Apr 09 21:05:36 CST 2025","1771","test_cases","test_checkout_two","","","","加入购物车商品数目:3",""
"passed","Wed Apr 09 21:10:22 CST 2025","Wed Apr 09 21:10:22 CST 2025","147","test_cases","test_products_details","","","","Test.allTheThings() T-Shirt (Red) 详情页加入购物车测试",""
"passed","Wed Apr 09 21:04:52 CST 2025","Wed Apr 09 21:04:52 CST 2025","52","test_cases","test_checkout_two","","","","Finsh",""
"passed","Wed Apr 09 21:10:17 CST 2025","Wed Apr 09 21:10:17 CST 2025","148","test_cases","test_products_details","","","","Sauce Labs Onesie 详情页加入购物车测试",""
"passed","Wed Apr 09 21:10:34 CST 2025","Wed Apr 09 21:10:34 CST 2025","199","test_cases","test_products_details","","","","Sauce Labs Bike Light 详情页移除购物车测试",""
"passed","Wed Apr 09 21:02:31 CST 2025","Wed Apr 09 21:02:31 CST 2025","62","test_cases","test_cart","","","","test_checkout",""
"passed","Wed Apr 09 21:05:15 CST 2025","Wed Apr 09 21:05:17 CST 2025","1600","test_cases","test_checkout_two","","","","加入购物车商品数目:6",""
"passed","Wed Apr 09 21:04:57 CST 2025","Wed Apr 09 21:04:57 CST 2025","318","test_cases","test_checkout_two","","","","加入购物车商品数目:0",""
"passed","Wed Apr 09 21:03:24 CST 2025","Wed Apr 09 21:03:24 CST 2025","229","test_cases","test_cart","","","","购物车中的sauce-labs-bolt-t-shirt跳转到商品详情页测试",""
"passed","Wed Apr 09 21:08:00 CST 2025","Wed Apr 09 21:08:01 CST 2025","625","test_cases","test_products","","","","test_picture_link[Test.allTheThings() T-Shirt (Red)]",""
"passed","Wed Apr 09 21:04:06 CST 2025","Wed Apr 09 21:04:06 CST 2025","54","test_cases","test_checkout_one","","","","Cancel",""
"passed","Wed Apr 09 21:10:28 CST 2025","Wed Apr 09 21:10:28 CST 2025","203","test_cases","test_products_details","","","","Sauce Labs Backpack 详情页移除购物车测试",""
"passed","Wed Apr 09 21:10:41 CST 2025","Wed Apr 09 21:10:42 CST 2025","192","test_cases","test_products_details","","","","Sauce Labs Bolt T-Shirt 详情页移除购物车测试",""
"passed","Wed Apr 09 21:07:29 CST 2025","Wed Apr 09 21:07:29 CST 2025","118","test_cases","test_products","","","","test_sort_down",""
"passed","Wed Apr 09 21:06:05 CST 2025","Wed Apr 09 21:06:11 CST 2025","5182","test_cases","test_login","","","","performance_glitch_user 用户登录",""
"passed","Wed Apr 09 21:03:05 CST 2025","Wed Apr 09 21:03:05 CST 2025","216","test_cases","test_cart","","","","移除购物车中的test.allthethings()-t-shirt-(red)测试",""
"passed","Wed Apr 09 21:11:12 CST 2025","Wed Apr 09 21:11:13 CST 2025","139","test_cases","test_products_details","","","","Sauce Labs Bike Light 详情页返回主页测试",""
"failed","Wed Apr 09 21:04:36 CST 2025","Wed Apr 09 21:04:36 CST 2025","338","test_cases","test_checkout_one","","","","firstname:【san】 lastname:【zhang】 postalcode:【】",""
"failed","Wed Apr 09 21:04:26 CST 2025","Wed Apr 09 21:04:26 CST 2025","293","test_cases","test_checkout_one","","","","firstname:【san】 lastname:【】 postalcode:【666666】",""
